brand,model,category,size,storage,color,price,source,webpage,condition,date,article_number,reviews_count,rating,camera_MP,delivery_time
APPLE,iPhone 14 ,Smartphone,6.1,256 GB,Starlight,729.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151031.html,new,2024-04-15,2151031,(5),5.0,12 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Yellow,619.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2176808.html,new,2024-04-15,2176808,(13),4.8,12 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
APPLE,iPhone 14 Plus ,Smartphone,6.7,128 GB,Yellow,729.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2176811.html,new,2024-04-15,2176811,(4),5.0,12 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
INOI,A63 ,Smartphone,6.5,32 GB,Schwarz,93.95,mediamarkt,https://www.mediamarkt.ch/de/product/_inoi-a63-2190687.html,new,2024-04-15,2190687,(1),5.0,13 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
XIAOMI,Redmi Note 13 Pro 5G ,Smartphone,6.67,256 GB,Midnight Black,349.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220897.html,new,2024-04-15,2220897,(5),4.0,200 MP,Auslieferung in 1-2 Werktagen
NOTHING,phone (2) ,Smartphone,6.7,512 GB,Weiss,649.,mediamarkt,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189935.html,new,2024-04-15,2189935,(1),5.0,50 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
SAMSUNG,Galaxy S23+ ,Smartphone,6.6,256 GB,Lavender,699.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167373.html,new,2024-04-15,2167373,(155),4.6,50 MP,Auslieferung in bis zu 10 Werktagen
SAMSUNG,Galaxy S24 ,Smartphone,6.2,256 GB,Amber Yellow,899.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220726.html,new,2024-04-15,2220726,(295),4.5,50 MP,Auslieferung in 1-2 Werktagen
SAMSUNG,Galaxy S23+ ,Smartphone,6.6,256 GB,Cream,699.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167370.html,new,2024-04-15,2167370,(154),4.6,50 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
SAMSUNG,Galaxy S24 ,Smartphone,6.2,256 GB,Marble Grey,899.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220724.html,new,2024-04-15,2220724,(295),4.5,50 MP,Auslieferung in 1-2 Werktagen
SAMSUNG,Galaxy S24 ,Smartphone,6.2,128 GB,Onyx Black,749.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220727.html,new,2024-04-15,2220727,(295),4.5,50 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone SE ,Smartphone,4.7,128 GB,Starlight,430.95,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2118903.html,new,2024-04-15,2118903,(0),,12 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
APPLE,iPhone SE (2022) ,Smartphone,4.7,256 GB,Starlight,567.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118907.html,new,2024-04-15,2118907,(0),,12 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
APPLE,iPhone 12 ,Smartphone,6.1,128 GB,Black,529.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028653.html,new,2024-04-15,2028653,(8),3.3,12 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 12 ,Smartphone,6.1,64 GB,Purple,479.95,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-12-2066506.html,new,2024-04-15,2066506,(5),5.0,12 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
APPLE,iPhone 15 ,Smartphone,6.1,512 GB,Black,1026.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203382.html,new,2024-04-15,2203382,(1),3.0,48 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 15 Pro ,Smartphone,6.1,1 TB,Natural Titanium,1456.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203421.html,new,2024-04-15,2203421,,5.0,48 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
APPLE,iPhone 15 Plus ,Smartphone,6.7,128 GB,Green,829.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203392.html,new,2024-04-15,2203392,(1),5.0,48 MP,Auslieferung in 1-2 Werktagen
NOKIA,G42 5G ,Smartphone,6.56,128 GB,So Grey,203.95,mediamarkt,https://www.mediamarkt.ch/de/product/_nokia-g42-5g-2192169.html,new,2024-04-15,2192169,(4),4.8,50 MP,Auslieferung in bis zu 7 Werktagen
GOOGLE,Pixel 8 Pro ,Smartphone,6.7,128 GB,Obsidian,921.,mediamarkt,https://www.mediamarkt.ch/de/product/_google-pixel-8-pro-2214719.html,new,2024-04-15,2214719,(11),4.5,50 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,1 TB,Titanium Black,1599.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220713.html,new,2024-04-15,2220713,(888),4.7,200 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 15 Pro ,Smartphone,6.1,1 TB,Blue Titanium,1474.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203423.html,new,2024-04-15,2203423,(3),4.7,48 MP,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
SAMSUNG,Galaxy S23 ,Smartphone,6.1,256 GB,Cream,698.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167357.html,new,2024-04-15,2167357,(271),4.4,50 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
