brand,model,size,storage,color,rating,reviews_count,delivery_time,price,webpage,source,camera_MP,date
apple,iphone 14,6.1,256 GB,blue,5.0,7,2.0,729.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151034.html,mediamarkt,12.0,2024-04-15
xiaomi,redmi note 13 4g,6.67,128 GB,mint green,4.7,3,7.0,169.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220886.html,mediamarkt,108.0,2024-04-15
apple,iphone 12,6.1,64 GB,black,4.5,19,2.0,479.95,https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028624.html,mediamarkt,12.0,2024-04-15
samsung,galaxy s24,6.2,128 GB,cobalt violet,4.5,295,2.0,749.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220729.html,mediamarkt,50.0,2024-04-15
samsung,galaxy s24 ultra,6.8,512 GB,titanium black,4.7,882,2.0,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220733.html,mediamarkt,200.0,2024-04-15
samsung,galaxy s24+,6.7,256 GB,cobalt violet,4.5,210,7.0,949.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220721.html,mediamarkt,50.0,2024-04-15
xiaomi,14 + electric scooter 4 lite swiss edition bundle,6.36,512 GB,jade green,0.0,0,7.0,1099.0,https://www.mediamarkt.ch/de/product/_xiaomi-14-electric-scooter-4-lite-swiss-edition-bundle-2238859.html,mediamarkt,50.0,2024-04-15
apple,iphone 15 pro max,6.7,1 TB,black titanium,0.0,0,,1556.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203435.html,mediamarkt,48.0,2024-04-15
samsung,galaxy a34 5g,6.6,256 GB,awesome silver,4.3,216,2.0,309.7,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2176866.html,mediamarkt,48.0,2024-04-15
xiaomi,redmi a2,6.52,32 GB,light green,4.5,10,,88.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a2-2178002.html,mediamarkt,8.0,2024-04-15
samsung,galaxy a25 5g,6.5,128 GB,blue,4.7,6,2.0,269.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a25-5g-2216496.html,mediamarkt,50.0,2024-04-15
motorola,moto g13,6.5,128 GB,matte charcoal,5.0,15,4.0,129.95,https://www.mediamarkt.ch/de/product/_motorola-moto-g13-2180586.html,mediamarkt,50.0,2024-04-15
nothing,phone (2),6.7,256 GB,white,5.0,1,4.0,549.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189933.html,mediamarkt,50.0,2024-04-15
xiaomi,redmi note 13 4g,6.67,128 GB,midnight black,3.7,7,2.0,169.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220885.html,mediamarkt,108.0,2024-04-15
motorola,moto g54 5g,6.5,256 GB,midnight blue,4.9,21,2.0,176.95,https://www.mediamarkt.ch/de/product/_motorola-moto-g54-5g-2216177.html,mediamarkt,50.0,2024-04-15
apple,iphone 15 pro max,6.7,1 TB,natural titanium,0.0,0,,1563.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203440.html,mediamarkt,48.0,2024-04-15
apple,iphone se (2022),4.7,64 GB,red,5.0,3,6.0,383.95,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118899.html,mediamarkt,12.0,2024-04-15
apple,iphone 15 pro,6.1,512 GB,black titanium,4.3,4,7.0,1258.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203413.html,mediamarkt,48.0,2024-04-15
apple,iphone 15 plus,6.7,256 GB,black,5.0,1,,949.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203393.html,mediamarkt,48.0,2024-04-15
samsung,galaxy s23,6.1,128 GB,green,4.4,271,,621.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167347.html,mediamarkt,50.0,2024-04-15
samsung,galaxy s23 ultra,6.8,512 GB,green,4.6,613,2.0,997.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167389.html,mediamarkt,200.0,2024-04-15
samsung,galaxy s24+,6.7,512 GB,marble grey,4.5,210,2.0,1149.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220716.html,mediamarkt,50.0,2024-04-15
samsung,galaxy s24 ultra,6.8,256 GB,titanium yellow,4.7,881,2.0,1179.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220740.html,mediamarkt,200.0,2024-04-15
samsung,galaxy a35 5g,6.6,128 GB,awesome lilac,0.0,0,4.0,359.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237047.html,mediamarkt,50.0,2024-04-15
samsung,galaxy a35 5g,6.6,128 GB,awesome navy,0.0,0,4.0,359.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237046.html,mediamarkt,50.0,2024-04-15
xiaomi,14 + electric scooter 4 lite swiss edition bundle,6.36,512 GB,black,0.0,0,7.0,998.0,https://www.mediamarkt.ch/de/product/_xiaomi-14-electric-scooter-4-lite-swiss-edition-bundle-2238856.html,mediamarkt,50.0,2024-04-15
xiaomi,redmi 13c,6.74,128 GB,navy blue,5.0,3,,126.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219839.html,mediamarkt,50.0,2024-04-15
